ParentSKU,Site_id,Year,Month,Category_id,Qty,Price,Net_sales,Discount,ATC,MRP,Pack_size,Pack_unit_id,Zone,Master_category,Size,Rank
F0033,BHUBANESWR,2018,2,0,1272.0,6702.8,53849.0,0,53849.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,3,0,1272.0,6702.8,52898.0,0,52898.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,4,0,1287.0,6702.8,52909.0,0,52909.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,5,0,1092.0,6702.8,45410.0,0,45410.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,6,0,300.0,6702.8,12713.0,0,12713.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,7,0,168.0,6702.8,7156.0,0,7156.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,8,0,44.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,9,0,156.0,6702.8,6953.0,0,6953.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,10,0,108.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,11,0,222.0,6702.8,8966.0,0,8966.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,12,0,177.0,6702.8,7371.0,0,7371.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,1,0,114.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,2,0,114.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,3,0,397.0,6702.8,17626.0,0,17626.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,4,0,190.0,6702.8,8694.0,0,8694.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,5,0,133.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,6,0,147.0,6702.8,6773.0,0,6773.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,7,0,312.0,6702.8,15181.0,0,15181.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,8,0,552.0,6702.8,26814.0,0,26814.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,9,0,60.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,10,0,117.0,6702.8,6702.8,0,6702.8,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,11,0,462.0,6702.8,18290.0,0,18290.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2019,12,0,207.0,6702.8,8274.0,0,8274.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2020,1,0,282.0,6702.8,12470.0,0,12470.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2020,2,0,285.0,6702.8,11914.0,0,11914.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,CHENNAI,2017,4,0,280.0,6702.8,14555.0,21,16369.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,5,0,701.0,6702.8,34441.0,12,38632.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,6,0,526.0,6702.8,23975.0,4,27322.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,7,0,604.0,6702.8,24765.0,0,24765.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,8,0,483.0,6702.8,19198.0,0,19198.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,9,0,502.0,6702.8,20437.0,0,20437.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,10,0,247.0,6702.8,10027.0,0,10027.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,11,0,286.0,6702.8,12427.0,0,12427.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2017,12,0,649.0,6702.8,27825.0,0,27825.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,1,0,528.0,6702.8,23206.0,0,23206.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,2,0,406.0,6702.8,17977.0,0,17977.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,3,0,429.0,6702.8,18842.0,0,18842.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,4,0,1287.0,6702.8,71016.0,0,71016.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,CHENNAI,2018,5,0,971.0,6702.8,41817.0,0,41817.0,6702.8,30.0,GM,SOUTH,3,30gm,4
